path	start	end	macro_name
crates/hir/src/attrs.rs	7041	7270	impl_has_attrs
crates/hir/src/attrs.rs	8179	8229	impl_has_attrs_enum
crates/hir/src/attrs.rs	8230	8306	impl_has_attrs_enum
crates/hir/src/diagnostics.rs	3136	5229	diagnostics
crates/hir/src/from_id.rs	1052	1862	from_id
crates/hir/src/lib.rs	256645	257078	impl_has_name
crates/hir/src/lib.rs	257364	257427	impl_has_name_no_db
crates/hir/src/semantics.rs	110549	111994	to_def_impls
crates/hir-def/src/builtin_derive.rs	2441	2722	declare_enum
crates/hir-def/src/expr_store/pretty.rs	4004	4018	wln
crates/hir-def/src/expr_store/pretty.rs	4050	4062	wln
crates/hir-def/src/expr_store/pretty.rs	4376	4428	w
crates/hir-def/src/expr_store/pretty.rs	4498	4511	w
crates/hir-def/src/expr_store/pretty.rs	4570	4590	w
crates/hir-def/src/expr_store/pretty.rs	4651	4670	w
crates/hir-def/src/expr_store/pretty.rs	4718	4734	w
crates/hir-def/src/expr_store/pretty.rs	4754	4796	w
crates/hir-def/src/expr_store/pretty.rs	4898	4911	wln
crates/hir-def/src/expr_store/pretty.rs	4943	4956	wln
crates/hir-def/src/expr_store/pretty.rs	4987	4999	wln
crates/hir-def/src/expr_store/pretty.rs	6878	6899	wln
crates/hir-def/src/expr_store/pretty.rs	6965	7009	wln
crates/hir-def/src/expr_store/pretty.rs	7073	7115	wln
crates/hir-def/src/expr_store/pretty.rs	7191	7216	wln
crates/hir-def/src/expr_store/pretty.rs	7228	7244	w
crates/hir-def/src/expr_store/pretty.rs	7250	7288	w
crates/hir-def/src/expr_store/pretty.rs	7393	7412	wln
crates/hir-def/src/expr_store/pretty.rs	7444	7460	wln
crates/hir-def/src/expr_store/pretty.rs	7605	7612	wln
crates/hir-def/src/expr_store/pretty.rs	7644	7656	wln
crates/hir-def/src/expr_store/pretty.rs	7687	7699	wln
crates/hir-def/src/expr_store/pretty.rs	8316	8331	w
crates/hir-def/src/expr_store/pretty.rs	8387	8402	w
crates/hir-def/src/expr_store/pretty.rs	8459	8475	w
crates/hir-def/src/expr_store/pretty.rs	8539	8553	w
crates/hir-def/src/expr_store/pretty.rs	8602	8639	w
