epoch_seconds	engine	scale	available_percent
1788840841	pglite-query	2x200	58
1788840842	pglite-query	6x2000	58
1788840843	pglite-query	8x20000	58
1788840847	native-postgres-query	2x200	58
1788840847	native-postgres-query	6x2000	58
1788840847	native-postgres-query	8x20000	58
1788840848	pglite-pg_ivm	2x200	58
1788840848	pglite-pg_ivm	6x2000	58
1788840848	pglite-pg_ivm	8x20000	58
1788840848	native-postgres-pg_ivm	2x200	58
1788840848	native-postgres-pg_ivm	6x2000	58
1788840848	native-postgres-pg_ivm	8x20000	58
1788840848	swi-incr	2x200	58
1788840849	swi-incr	6x2000	58
1788840849	swi-incr	8x20000	58
1788840852	differential-dataflow	2x200	58
1788840852	differential-dataflow	6x2000	58
1788840852	differential-dataflow	8x20000	58
1788840853	sqlite-count	2x200	58
1788840853	sqlite-count	6x2000	58
1788840853	sqlite-count	8x20000	58
1788840854	sqlite-count-scc	2x200	58
1788840854	sqlite-count-scc	6x2000	58
1788840854	sqlite-count-scc	8x20000	58
1788840855	sqlite-dred-loop	2x200	58
1788840855	sqlite-dred-loop	6x2000	58
1788840855	sqlite-dred-loop	8x20000	58
1788840856	sqlite-dred-cte	2x200	58
1788840856	sqlite-dred-cte	6x2000	58
1788840856	sqlite-dred-cte	8x20000	58
1788840857	sqlite-signed-delta-v2	2x200	58
1788840857	sqlite-signed-delta-v2	6x2000	58
1788840857	sqlite-signed-delta-v2	8x20000	58
1788840858	tsv2-runtime	2x200	58
1788840858	tsv2-runtime	6x2000	60
1788840859	tsv2-runtime	8x20000	58
1788840867	sprefa-engine-rs	2x200	60
1788840868	sprefa-engine-rs	6x2000	60
1788840868	sprefa-engine-rs	8x20000	58
