epoch_seconds	engine	scale	available_percent
1788840904	sqlite-count	2x200	59
1788840904	sqlite-count	6x2000	59
1788840904	sqlite-count	8x20000	59
1788840905	sqlite-count-scc	2x200	60
1788840905	sqlite-count-scc	6x2000	60
1788840905	sqlite-count-scc	8x20000	59
1788840906	sqlite-dred-loop	2x200	59
1788840906	sqlite-dred-loop	6x2000	59
1788840906	sqlite-dred-loop	8x20000	59
1788840907	sqlite-dred-cte	2x200	59
1788840907	sqlite-dred-cte	6x2000	59
1788840907	sqlite-dred-cte	8x20000	59
1788840908	sqlite-signed-delta-v2	2x200	59
1788840908	sqlite-signed-delta-v2	6x2000	60
1788840908	sqlite-signed-delta-v2	8x20000	59
1788840909	tsv2-runtime	2x200	59
1788840909	tsv2-runtime	6x2000	59
1788840910	tsv2-runtime	8x20000	59
1788840918	sprefa-engine-rs	2x200	59
1788840919	sprefa-engine-rs	6x2000	59
1788840919	sprefa-engine-rs	8x20000	59
1788840922	pglite-query	2x200	59
1788840923	pglite-query	6x2000	59
1788840924	pglite-query	8x20000	59
1788840928	native-postgres-query	2x200	59
1788840928	native-postgres-query	6x2000	59
1788840928	native-postgres-query	8x20000	59
1788840930	pglite-pg_ivm	2x200	60
1788840930	pglite-pg_ivm	6x2000	60
1788840930	pglite-pg_ivm	8x20000	60
1788840930	native-postgres-pg_ivm	2x200	60
1788840930	native-postgres-pg_ivm	6x2000	60
1788840930	native-postgres-pg_ivm	8x20000	60
1788840930	swi-incr	2x200	60
1788840930	swi-incr	6x2000	60
1788840930	swi-incr	8x20000	59
1788840934	differential-dataflow	2x200	59
1788840934	differential-dataflow	6x2000	59
1788840934	differential-dataflow	8x20000	59
