sweep_ts,engine,workload,nodes,edges,cache_size_kib,memcap_mb,correct,out_hash,aborted,db_bytes,final_table_bytes,final_index_bytes,diskio_source,build_t_ms,build_rss_kb,build_sqlite_hw_kb,build_disk_read,build_disk_write,build_cache_hit,build_cache_miss,build_cache_write,insert_t_ms,insert_rss_kb,insert_sqlite_hw_kb,insert_disk_read,insert_disk_write,insert_cache_hit,insert_cache_miss,insert_cache_write,op_t_ms,op_rss_kb,op_sqlite_hw_kb,op_disk_read,op_disk_write,op_cache_hit,op_cache_miss,op_cache_write
1784744965004314,sqlite-count,DAG,4002,7998,2000,1024,1,235481ed9e45ebe0889ed723654f073abb606a663305a91827ce7ecb3fa55db3,0,4096,176128,114688,proc_pid_rusage,12.677166999999999,7088,1008,278528,65536,-1,-1,-1,0.000042,7104,1008,278528,65536,-1,-1,-1,6.168625,7600,1008,278528,65536,-1,-1,-1
1784744965034440,sqlite-count,DAG,4002,7998,32000,1024,1,235481ed9e45ebe0889ed723654f073abb606a663305a91827ce7ecb3fa55db3,0,4096,176128,114688,proc_pid_rusage,7.934082999999999,8864,1008,282624,790528,-1,-1,-1,0.000042,8864,1008,282624,790528,-1,-1,-1,4.490333,8960,1008,282624,790528,-1,-1,-1
1784744965067696,sqlite-count-scc,CYC,4002,7998,2000,1024,1,85ec804bb8f7290667d4dc9a4c9e06799525079913bed22b24aafab909805f39,0,4096,180224,114688,proc_pid_rusage,7.317042,9024,1165,286720,1511424,-1,-1,-1,0,9024,1165,286720,1511424,-1,-1,-1,8.685375,9184,1165,286720,1511424,-1,-1,-1
1784744965099160,sqlite-count-scc,CYC,4002,7998,32000,1024,1,85ec804bb8f7290667d4dc9a4c9e06799525079913bed22b24aafab909805f39,0,4096,180224,114688,proc_pid_rusage,6.784958,9248,1165,290816,1957888,-1,-1,-1,0.000042,9248,1165,290816,1957888,-1,-1,-1,8.267291,9248,1165,290816,1957888,-1,-1,-1
