caller naming: closure@N (oracle names the enclosing fn)	src/compiler/visitorPublic.ts closure@57799	src/compiler/utilitiesPublic.ts isExpression	635	Debu	
caller naming: closure@N (oracle names the enclosing fn)	src/compiler/visitorPublic.ts closure@78867	src/compiler/factory/nodeTests.ts isModuleExportName	1650	_tokenVisi	
caller naming: closure@N (oracle names the enclosing fn)	src/compiler/watch.ts closure@13553	src/compiler/watch.ts fileIncludeReasonToDiagnostics	363	optio	
caller naming: closure@N (oracle names the enclosing fn)	src/compiler/watch.ts closure@42772	src/compiler/watch.ts reportUnrecoverableDiagnostic	928		
caller naming: closure@N (oracle names the enclosing fn)	src/compiler/watchPublic.ts closure@58578	src/compiler/watchPublic.ts nextSourceFileVersion	728	scheduleP	
caller naming: closure@N (oracle names the enclosing fn)	src/compiler/watchPublic.ts watchReferencedProject	src/compiler/watchPublic.ts watchFile	1123		
caller naming: closure@N (oracle names the enclosing fn)	src/harness/harnessIO.ts closure@28944	src/compiler/path.ts comparePaths	638	engine	
caller naming: closure@N (oracle names the enclosing fn)	src/harness/harnessLanguageService.ts closure@21541	src/compiler/path.ts toPath	554	retu	
caller naming: closure@N (oracle names the enclosing fn)	src/harness/tsserverLogger.ts closure@2085	src/harness/tsserverLogger.ts msg	70	l	
caller naming: closure@N (oracle names the enclosing fn)	src/server/editorServices.ts closure@185197	src/server/editorServices.ts onSourceFileChanged	4145	removeRootOfInferredProjectIfNowPartOfOtherPro	
caller naming: closure@N (oracle names the enclosing fn)	src/server/editorServices.ts closure@188094	src/server/editorServices.ts clearSemanticCache	4174		
caller naming: closure@N (oracle names the enclosing fn)	src/server/editorServices.ts closure@193458	src/server/editorServices.ts assignOrphanScriptInfoToInferredProject	4273	originalScri	
caller naming: closure@N (oracle names the enclosing fn)	src/server/editorServices.ts closure@84990	src/server/editorServices.ts getConfiguredProjectByCanonicalConfigFilePath	2082	configF	
caller naming: closure@N (oracle names the enclosing fn)	src/server/project.ts closure@41695	src/server/project.ts close	1176	det	
caller naming: closure@N (oracle names the enclosing fn)	src/server/session.ts closure@144998	src/server/session.ts mapTextChangeToCodeEdit	3110	a	NavigateToItem
