set	path	rc	ms_parallel8	bytes	lines	err
program	packages/typescript/src/enums/spanMapFeature.enum.ts	0	29	747	234	
program	packages/typescript/src/enums/spanMapFeature.ts	0	23	1844	582	
program	packages/typescript/src/enums/spanMapFidelity.enum.ts	0	33	207	36	
program	packages/typescript/src/enums/spanMapFidelity.ts	0	20	472	150	
program	packages/typescript/src/enums/spanMapKind.enum.ts	0	18	185	30	
program	packages/typescript/src/enums/spanMapKind.ts	0	25	366	126	
program	packages/typescript/src/enums/symbolFlags.enum.ts	0	30	3058	886	
program	packages/typescript/src/enums/symbolFlags.ts	0	36	5216	1664	
program	packages/typescript/src/enums/syntaxKind.enum.ts	0	28	11334	2328	
program	packages/typescript/src/enums/syntaxKind.ts	0	66	28819	9318	
program	packages/typescript/src/enums/tokenFlags.enum.ts	0	24	1444	326	
program	packages/typescript/src/enums/tokenFlags.ts	0	23	2321	702	
program	packages/typescript/src/enums/typeFlags.enum.ts	0	41	3729	1038	
program	packages/typescript/src/enums/typeFlags.ts	0	28	5230	1808	
program	packages/typescript/src/enums/typeFormatFlags.enum.ts	0	24	1572	332	
program	packages/typescript/src/enums/typeFormatFlags.ts	0	24	2762	678	
program	packages/typescript/src/enums/typePredicateKind.enum.ts	0	39	225	36	
program	packages/typescript/src/enums/typePredicateKind.ts	0	18	530	150	
program	packages/typescript/src/internal/utils.ts	0	29	1659	579	
program	packages/typescript/test/api.bench.ts	0	30	342	125	
program	packages/typescript/test/async/api.bench.ts	0	54	10721	4047	
program	packages/typescript/test/async/api.test.ts	0	203	328674	104721	
program	packages/typescript/test/async/api.testUtils.ts	0	37	690	266	
program	packages/typescript/test/async/astnav.test.ts	0	29	6864	2551	
program	packages/typescript/test/diagnosticFormatter.test.ts	0	48	5964	1856	
program	packages/typescript/test/encoder.test.ts	0	56	20571	10015	
program	packages/typescript/test/nodelist.bench.ts	0	32	5612	2388	
program	packages/typescript/test/spanMap.test.ts	0	53	13644	6996	
program	packages/typescript/test/sync/api-generators.test.ts	0	68	61849	18541	
program	packages/typescript/test/sync/api.bench.ts	0	51	10557	3997	
program	packages/typescript/test/sync/api.test.ts	0	234	314588	100625	
program	packages/typescript/test/sync/api.testUtils.ts	0	27	689	266	
program	packages/typescript/test/sync/ast.test.ts	0	63	41709	16636	
program	packages/typescript/test/sync/astnav.test.ts	0	62	6987	2553	
program	packages/typescript/test/types.d.ts	0	41	106	10	
program	packages/typescript/test/version.test.ts	0	47	939	438	
program	packages/typescript/test/wtf8.test.ts	0	32	1151	512	
program	packages/vscode-typescript/src/activeJsTsEditorTracker.ts	0	33	3516	1475	
program	packages/vscode-typescript/src/client.ts	0	35	31460	9644	
program	packages/vscode-typescript/src/commands.ts	0	20	4229	1432	
program	packages/vscode-typescript/src/configurationMiddleware.ts	0	60	12451	4196	
program	packages/vscode-typescript/src/contentMapperContributions.ts	0	35	4459	1371	
program	packages/vscode-typescript/src/experimentationService.ts	0	46	2212	615	
program	packages/vscode-typescript/src/extension.ts	0	40	11765	3596	
program	packages/vscode-typescript/src/languageFeatures/documentHighlight.ts	0	47	3086	913	
program	packages/vscode-typescript/src/languageFeatures/hover.ts	0	40	2985	952	
program	packages/vscode-typescript/src/languageFeatures/onAutoInsert.ts	0	46	7027	2439	
program	packages/vscode-typescript/src/languageFeatures/sourceDefinition.ts	0	51	3366	1162	
program	packages/vscode-typescript/src/languageFeatures/util/dependentRegistration.ts	0	30	2773	1157	
program	packages/vscode-typescript/src/managedFileContext.ts	0	31	1883	681	
program	packages/vscode-typescript/src/projectStatus.ts	0	31	6664	2207	
program	packages/vscode-typescript/src/session.ts	0	42	31615	11646	
program	packages/vscode-typescript/src/statusBar.ts	0	19	675	330	
program	packages/vscode-typescript/src/telemetryReporting.ts	0	13	4315	1020	
program	packages/vscode-typescript/src/tsdkPackage.ts	0	12	421	195	
program	packages/vscode-typescript/src/util.ts	0	40	21512	7881	
program	packages/vscode-typescript/src/vscode.proposed.editorHoverVerbosityLevel.d.ts	0	23	2673	223	
program	packages/vscode-typescript/src/vscode.proposed.multiDocumentHighlightProvider.d.ts	0	15	2863	177	
program	packages/vscode-typescript/src/workspaceSymbolMiddleware.ts	0	25	1434	667	
program	packages/vscode-typescript/test/contentMapperContributions.test.ts	0	26	1864	627	
program	packages/vscode-typescript/test/index.test.ts	0	36	75	15	
program	packages/vscode-typescript/test/tsdkPackage.test.ts	0	54	5425	2071	
program	tools/scripts/tsc/generate-encoder.ts	0	103	85786	39061	
program	tools/scripts/tsc/generate-go-ast.ts	0	72	42911	19080	
program	tools/scripts/tsc/generate-ts-ast.ts	0	103	76600	32666	
program	tools/scripts/tsc/generate.ts	0	41	391	131	
program	tools/scripts/tsc/schema.ts	0	104	45193	19810	
program	tsc/internal/bundled/libs/lib.d.ts	0	34	953	11	
program	tsc/internal/bundled/libs/lib.decorators.d.ts	0	26	13153	1348	
program	tsc/internal/bundled/libs/lib.decorators.legacy.d.ts	0	17	1287	181	
program	tsc/internal/bundled/libs/lib.dom.asynciterable.d.ts	0	31	933	7	
program	tsc/internal/bundled/libs/lib.dom.d.ts	0	540	2349483	259486	
program	tsc/internal/bundled/libs/lib.dom.iterable.d.ts	0	21	933	7	
program	tsc/internal/bundled/libs/lib.es2015.collection.d.ts	0	48	5627	1143	
program	tsc/internal/bundled/libs/lib.es2015.core.d.ts	0	56	22821	2716	
program	tsc/internal/bundled/libs/lib.es2015.d.ts	0	40	1202	23	
program	tsc/internal/bundled/libs/lib.es2015.generator.d.ts	0	47	2518	330	
