closure-caller naming	internal/checker/flow.go	getNarrowedTypeWorker$3$3	internal/checker/checker.go	maybeTypeOfKind
interface method dispatch	internal/checker/utilities.go	isExportAssignmentExpressionName	internal/ast/ast.go	Expression
multi-hop receiver chain	internal/transformers/estransforms/esdecorator.go	createDescriptorMethod	internal/printer/emitcontext.go	SetSourceMapRange
closure-caller naming	internal/format/span.go	execute$3	internal/core/text.go	Pos
closure-caller naming	internal/checker/checker.go	computeBaseConstraint$1	internal/checker/checker.go	isGenericTupleType
closure-caller naming	internal/checker/checker.go	checkFunctionOrConstructorSymbolWorker$4	internal/scanner/utilities.go	DeclarationNameToString
interface method dispatch	internal/ls/callhierarchy.go	resolveCallHierarchyDeclaration	internal/checker/checker.go	GetSymbolAtLocation
vta-closure-callee (func literal named by vta)	internal/checker/checker.go	checkObjectTypeForDuplicateDeclarations	internal/checker/checker.go	checkObjectTypeForDuplicateDeclarations$1
interface method dispatch	internal/ipc/conn_async.go	handleRequest	internal/ipc/protocol_jsonrpc.go	WriteError
interface method dispatch	internal/transformers/tstransforms/legacydecorators.go	visitSetAccessorDeclaration	internal/ast/ast.go	AsNode
closure-caller naming	internal/fourslash/fourslash.go	VerifyNumberOfErrorsInCurrentFile$1	internal/fourslash/fourslash.go	isSuggestionDiagnostic
interface method dispatch	internal/printer/printer.go	emitParameter	internal/ast/ast.go	Modifiers
vta-closure-callee (func literal named by vta)	internal/core/bfs.go	BreadthFirstSearchParallelEx	internal/core/bfs.go	BreadthFirstSearchParallelEx$1
multi-hop receiver chain	internal/transformers/estransforms/using.go	hoistInitializedVariable	internal/transformers/transformer.go	EmitContext
interface method dispatch	internal/ast/ast_generated.go	UpdateJSDocTemplateTag	internal/ast/ast.go	AsNode
multi-hop receiver chain	internal/transformers/declarations/transform.go	transformTopLevelDeclaration	internal/transformers/transformer.go	EmitContext
other: concrete pkg func missed	internal/ls/lsconv/converters.go	FileNameToDocumentURI	internal/bundled/embed.go	IsBundled
