path	line	callee	receiver_type	impls_of_pair	class
crates/hir/src/source_analyzer.rs	1938	BuiltinType::from	-norow-	0	8 `T::f()`, T a corpus struct/enum
crates/hir/src/source_analyzer.rs	2111	segments	Path	2	7 Named receiver, 2+ corpus impls of (T, m)
crates/hir/src/symbols.rs	170	insert	FxIndexSet	0	3a receiver type is a corpus ALIAS to an external type
crates/hir/src/term_search.rs	270	insert	TermSearchConfig	0	5 corpus struct/enum, method from an external trait or a Deref
crates/hir/src/term_search/expr.rs	267	Adt::Struct	-norow-	0	8 `T::f()`, T a corpus struct/enum
crates/ide-assists/src/handlers/add_missing_match_arms.rs	623	suggest_name::NameGenerator::default	-norow-	0	8 `T::f()`, T a corpus struct/enum
crates/ide-assists/src/handlers/convert_named_struct_to_tuple_struct.rs	161	Definition::Adt	-norow-	0	8 `T::f()`, T a corpus struct/enum
crates/ide-assists/src/handlers/extract_function.rs	517	kind	Param	2	7 Named receiver, 2+ corpus impls of (T, m)
crates/ide-assists/src/handlers/extract_struct_from_enum_variant.rs	160	push	Vec	2	7 Named receiver, 2+ corpus impls of (T, m)
crates/ide-assists/src/handlers/extract_struct_from_enum_variant.rs	161	push	Vec	2	7 Named receiver, 2+ corpus impls of (T, m)
crates/ide-assists/src/handlers/generate_blanket_trait_impl.rs	175	to_def	Semantics	0	5 corpus struct/enum, method from an external trait or a Deref
crates/ide-assists/src/handlers/generate_blanket_trait_impl.rs	281	where_clause	Fn	0	4 corpus struct/enum, method is a corpus trait DEFAULT body
crates/ide-assists/src/handlers/generate_default_from_new.rs	133	std::iter::empty	-norow-	0	11 module-qualified path `mod::f()`
crates/ide-assists/src/handlers/generate_deref.rs	212	to_def	Semantics	0	5 corpus struct/enum, method from an external trait or a Deref
crates/ide-assists/src/handlers/generate_documentation_template.rs	496	name	Fn	0	4 corpus struct/enum, method is a corpus trait DEFAULT body
crates/ide-assists/src/handlers/generate_function.rs	1141	add_edge	TargetInfo	0	5 corpus struct/enum, method from an external trait or a Deref
crates/ide-assists/src/handlers/inline_call.rs	130	into_iter	Vec	0	3a receiver type is a corpus ALIAS to an external type
crates/ide-assists/src/handlers/inline_local_variable.rs	145	to_def	Semantics	0	5 corpus struct/enum, method from an external trait or a Deref
crates/ide-assists/src/handlers/move_guard.rs	249	is_empty	TextRange	0	3b receiver type undeclared in corpus (std/external)
crates/ide-assists/src/handlers/replace_derive_with_manual_impl.rs	92	hir::ModuleDef::Trait	-norow-	0	8 `T::f()`, T a corpus struct/enum
crates/ide-assists/src/handlers/replace_derive_with_manual_impl.rs	154	as_ref	ModPath	0	5 corpus struct/enum, method from an external trait or a Deref
crates/ide-assists/src/handlers/replace_is_method_with_if_let_method.rs	105	arg_list	MethodCallExpr	0	4 corpus struct/enum, method is a corpus trait DEFAULT body
crates/ide-assists/src/handlers/replace_method_eager_lazy.rs	35	arg_list	MethodCallExpr	0	4 corpus struct/enum, method is a corpus trait DEFAULT body
crates/ide-assists/src/handlers/replace_turbofish_with_explicit_type.rs	109	expr	Expr	0	5 corpus struct/enum, method from an external trait or a Deref
crates/ide-assists/src/handlers/toggle_ignore.rs	61	attrs	Fn	0	4 corpus struct/enum, method is a corpus trait DEFAULT body
crates/ide-assists/src/tests.rs	114	crate::assists	-norow-	0	11 module-qualified path `mod::f()`
