IsIncremental	direct	2	n	407:if t.resolved.CompilerOptions().IsIncremental() { || 408:if !buildInfo.IsIncremental() { || 447:if buildInfo.IsIncremental() {
VisitEachChild	direct	170	y	49:node = tx.Visitor().VisitEachChild(node) || 181:visited = tx.Visitor().VisitEachChild(node.AsNode()) || 208:return tx.Visitor().VisitEachChild(node.AsNode())
EnumMap	direct	1	n	198:enumMap := optionDecl.EnumMap() || 225:if elem != nil && elem.EnumMap() != nil { || 227:elemMap := elem.EnumMap()
getExistingNodeTreeVisitor$1$1	closure	0	n	
EmitContext	direct	2	n	181:tx.modifierVisitor = tx.EmitContext().NewNodeVisitor(tx.visitModifier) || 182:tx.discardedValueVisitor = tx.EmitContext().NewNodeVisitor(tx.visitDiscardedValue) || 183:tx.heritageClauseVisitor = tx.EmitContext().NewNodeVisitor(tx.visitHeritageClause)
Factory	direct	1	n	46:statements := tx.Factory().EnsureUseStrict(node.Statements.Nodes) || 47:statementList := tx.Factory().NewNodeList(statements) || 49:return tx.Factory().UpdateSourceFile(node, statementList, node.EndOfFileToken).AsSourceFile().AsNode()
Name	direct	57	y	459:if c.isMatchingReference(f.reference.Expression(), c.getReferenceCandidate(callAccess.Expression())) && ast.Is || 753:name = expr.AsPropertyAccessExpression().Name() || 1545:isLengthPushOrUnshift := ast.IsPropertyAccessExpression(parent) && (parent.Name().Text() == "length" ||
createArrayLiteralError	direct	0	n	610:func createArrayLiteralError(node *ast.Node) *ast.Diagnostic { || 719:return createArrayLiteralError(node)
Get	direct	5	n	152:option := tsoptions.CommandLineCompilerOptionsMap.Get(propertyName)
dropTrailingEmptyLines	direct	0	n	165:return strings.Join(dropTrailingEmptyLines(commandLines), "\n") || 259:return strings.Join(dropTrailingEmptyLines(commandLines), "\n") || 331:return strings.Join(dropTrailingEmptyLines(commandLines), "\n")
CreateDiagnosticReporter$1	closure	0	n	
maybeTypeOfKind	direct	1	n	731:removeNullable := c.strictNullChecks && (optionalChain || isNonNullAccess(access)) && c.maybeTypeOfKind(t, Typ || 942:if c.maybeTypeOfKind(t, TypeFlagsInstantiable) { || 1908:if c.maybeTypeOfKind(typeWithPrimitives, TypeFlagsString|TypeFlagsTemplateLiteral|TypeFlagsNumber|TypeFlagsBig
Expression	direct	2	n	152:return current.Parent != nil && ast.IsExportAssignment(current.Parent) && current.Parent.Expression() == curre || 924:return (ast.IsPropertyAccessExpression(node) || ast.IsElementAccessExpression(node)) && node.Expression().Kind || 1020:return (!ast.IsBindableStaticAccessExpression(left, false /*excludeThisKeyword*/) || !ast.IsPrototypeAccess(le
SetSourceMapRange	direct	1	n	525:tx.EmitContext().SetSourceMapRange(initializer, nameRange.Loc) || 527:tx.EmitContext().SetSourceMapRange(initializer, transformers.MoveRangePastDecorators(node)) || 539:tx.EmitContext().SetSourceMapRange(initializer, nameRange.Loc)
Pos	direct	7	n	53:start := adjusted.Pos() || 54:if start == originalRange.Pos() && enclosingNode.End() == originalRange.End() { || 59:precedingToken := astnav.FindPrecedingTokenEx(sourceFile, originalRange.Pos(), nil /*startNode*/, true /*exclu
isGenericTupleType	direct	1	n	13764:case c.isGenericTupleType(t): || 21139:if c.isGenericTupleType(t) { || 23611:func isGenericTupleType(t *Type) bool {
DeclarationNameToString	direct	0	n	1532:c.error(errorLocation, message, scanner.DeclarationNameToString(prop.Name()), name) || 1588:declarationName = scanner.DeclarationNameToString(errorLocation) // use escape sequences from original file || 1861:c.error(errorLocation, diagnostics.Parameter_0_cannot_reference_itself, scanner.DeclarationNameToString(associ
GetSymbolAtLocation	direct	2	n	157:return c.GetSymbolAtLocation(location) || 185:symbol := c.GetSymbolAtLocation(node.Parent) || 234:symbol := c.GetSymbolAtLocation(name)
checkObjectTypeForDuplicateDeclarations$1	closure	0	n	
WriteError	direct	3	y	163:writeErr := c.protocol.WriteError(msg.ID, &jsonrpc.ResponseError{ || 186:writeErr = c.protocol.WriteError(msg.ID, &jsonrpc.ResponseError{
AsNode	direct	2	y	76:if _, ok := tx.classAliases[d.AsNode()]; ok && tx.referenceResolver.GetReferencedValueDeclaration(tx.EmitConte || 77:return tx.classAliases[d.AsNode()] || 80:return node.AsNode()
isSuggestionDiagnostic	direct	0	n	5424:f.verifyDiagnostics(t, expected, func(d *lsproto.Diagnostic) bool { return !isSuggestionDiagnostic(d) }) || 5469:func isSuggestionDiagnostic(diag *lsproto.Diagnostic) bool { || 5483:func(d *lsproto.Diagnostic) bool { return !isSuggestionDiagnostic(d) },
Modifiers	direct	4	y	1443:p.emitModifierList(node.AsNode(), node.Modifiers(), false /*allowDecorators*/) || 1479:p.emitModifierList(node.AsNode(), node.Modifiers(), true /*allowDecorators*/) || 1488:p.emitInitializer(node.Initializer, greatestEnd(node.Pos(), node.Type, node.QuestionToken, node.Name(), node.M
BreadthFirstSearchParallelEx$1	closure	0	n	
EmitContext	direct	2	n	100:tx.EmitContext().StartVariableEnvironment() || 156:topLevelStatements = append(topLevelStatements, tx.EmitContext().EndVariableEnvironment()...) || 183:tx.EmitContext().AddEmitHelper(visited, tx.EmitContext().ReadEmitHelpers()...)
AsNode	direct	2	y	606:return cloneNode(f.AsNodeFactory().NewToken(node.Kind), node.AsNode(), f.AsNodeFactory().hooks) || 635:return cloneNode(f.AsNodeFactory().NewIdentifier(node.Text), node.AsNode(), f.AsNodeFactory().hooks) || 659:return cloneNode(f.AsNodeFactory().NewPrivateIdentifier(node.Text), node.AsNode(), f.AsNodeFactory().hooks)
EmitContext	direct	2	n	104:func NewDeclarationTransformer(host DeclarationEmitHost, context *printer.EmitContext, compilerOptions *core.C || 134:tx.bindingNameVisitor = tx.EmitContext().NewNodeVisitor(tx.visitBindingName) || 135:tx.expressionVisitor = tx.EmitContext().NewNodeVisitor(tx.visitNestedExpression)
IsBundled	direct	0	n	326:if bundled.IsBundled(fileName) {
FS	direct	24	y	179:caches:          newCaches(host.GetCurrentDirectory(), host.FS().UseCaseSensitiveFileNames(), options), || 203:r.caches = newCaches(host.GetCurrentDirectory(), host.FS().UseCaseSensitiveFileNames(), compilerOptions) || 412:directoryExists := r.resolver.host.FS().DirectoryExists(typeRoot)
getPropertyOfObjectType	direct	1	n	4600:baseSymbol := c.getPropertyOfObjectType(t, base.Name) || 4624:if baseSymbol := c.getPropertyOfObjectType(otherBaseType, base.Name); baseSymbol != nil && base != c.getTarget || 4921:return c.getPropertyOfObjectType(base, prop.Name) != nil && c.getIndexTypeOfType(base, info.keyType) != nil
IsNone	direct	1	n	514:if spanFidelity.IsNone() || sourceFile.ContentMapper() != "" && !lspRangeContains(span, selectionSpan) { || 576:if lspRange, fidelity := l.converters.ToLSPRangeForFeature(sourceFile, entry.textRange, spanmap.FeatureCallHie || 644:if _, fidelity := l.converters.ToLSPPositionForFeature(locationFile, core.TextPos(locationStart), spanmap.Feat
Name	direct	57	y	90:if startInDeclarationContainer && reference.Parent != nil && ast.IsDeclaration(reference.Parent) && reference. || 156:startInDeclarationContainer := node.Parent != nil && (node.Parent.Kind == ast.KindModuleDeclaration || node.Pa
UseCaseSensitiveFileNames	direct	19	y	13:UseCaseSensitiveFileNames() bool || 54:UseCaseSensitiveFileNames: host.UseCaseSensitiveFileNames(), || 89:UseCaseSensitiveFileNames: host.UseCaseSensitiveFileNames(),
GetMTime	direct	2	n	233:aTime = h.program.host.GetMTime(fileName)
EmitContext	direct	2	n	236:tx.currentModuleInfo = collectExternalModuleInfo(node, tx.compilerOptions, tx.EmitContext(), tx.resolver) || 285:tx.EmitContext().SetEmitFlags(statement, printer.EFCustomPrologue) || 290:tx.EmitContext().StartVariableEnvironment()
WriteParameter	direct	6	n	63:func (w *trailingSemicolonDeferringWriter) WriteParameter(text string) { || 65:w.inner.WriteParameter(text)
Modifiers	direct	4	y	1443:p.emitModifierList(node.AsNode(), node.Modifiers(), false /*allowDecorators*/) || 1479:p.emitModifierList(node.AsNode(), node.Modifiers(), true /*allowDecorators*/) || 1488:p.emitInitializer(node.Initializer, greatestEnd(node.Pos(), node.Type, node.QuestionToken, node.Name(), node.M
