epoch_seconds	engine	scale	available_percent
1788841104	native-postgres-pg_ivm	2x200	60
1788841104	native-postgres-pg_ivm	6x2000	60
1788841104	native-postgres-pg_ivm	8x20000	60
1788841105	swi-incr	2x200	60
1788841105	swi-incr	6x2000	60
1788841105	swi-incr	8x20000	60
1788841109	differential-dataflow	2x200	60
1788841109	differential-dataflow	6x2000	60
1788841109	differential-dataflow	8x20000	60
1788841109	sqlite-count	2x200	61
1788841109	sqlite-count	6x2000	61
1788841109	sqlite-count	8x20000	61
1788841109	sqlite-count-scc	2x200	60
1788841109	sqlite-count-scc	6x2000	60
1788841109	sqlite-count-scc	8x20000	60
1788841110	sqlite-dred-loop	2x200	60
1788841110	sqlite-dred-loop	6x2000	60
1788841110	sqlite-dred-loop	8x20000	60
1788841111	sqlite-dred-cte	2x200	60
1788841112	sqlite-dred-cte	6x2000	60
1788841112	sqlite-dred-cte	8x20000	60
1788841113	sqlite-signed-delta-v2	2x200	60
1788841113	sqlite-signed-delta-v2	6x2000	60
1788841113	sqlite-signed-delta-v2	8x20000	60
1788841114	tsv2-runtime	2x200	60
1788841114	tsv2-runtime	6x2000	60
1788841115	tsv2-runtime	8x20000	60
1788841124	sprefa-engine-rs	2x200	60
1788841124	sprefa-engine-rs	6x2000	60
1788841124	sprefa-engine-rs	8x20000	60
1788841128	pglite-query	2x200	60
1788841129	pglite-query	6x2000	60
1788841130	pglite-query	8x20000	60
1788841134	native-postgres-query	2x200	60
1788841134	native-postgres-query	6x2000	60
1788841134	native-postgres-query	8x20000	60
1788841136	pglite-pg_ivm	2x200	60
1788841136	pglite-pg_ivm	6x2000	60
1788841136	pglite-pg_ivm	8x20000	60
