build.rs	main	build.rs	set_git_revision_hash
crates/core/flags/defs.rs	update	crates/core/flags/lowargs.rs	File
crates/core/flags/defs.rs	update	crates/core/flags/lowargs.rs	Generate
crates/core/flags/defs.rs	update	crates/core/flags/lowargs.rs	Index
crates/core/flags/defs.rs	update	crates/core/flags/lowargs.rs	Regexp
crates/core/flags/defs.rs	update	crates/core/flags/lowargs.rs	Search
crates/core/flags/defs.rs	update	crates/core/flags/lowargs.rs	Some
crates/core/flags/defs.rs	update	crates/core/flags/lowargs.rs	disabled
crates/core/flags/defs.rs	update	crates/core/flags/lowargs.rs	set_after
crates/core/flags/defs.rs	update	crates/core/flags/lowargs.rs	set_before
crates/core/flags/defs.rs	update	crates/core/flags/lowargs.rs	set_both
crates/core/flags/defs.rs	update	crates/core/flags/lowargs.rs	update
crates/core/flags/defs.rs	update	crates/core/flags/mod.rs	unwrap_switch
crates/core/flags/defs.rs	update	crates/core/flags/mod.rs	unwrap_value
crates/core/flags/doc/help.rs	generate_long	crates/core/flags/doc/version.rs	generate_digits
crates/core/flags/doc/help.rs	generate_long_flag	/Users/chrishafley/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/textwrap-0.16.2/src/options.rs	new
crates/core/flags/doc/help.rs	generate_long_flag	/Users/chrishafley/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/textwrap-0.16.2/src/options.rs	word_splitter
crates/core/flags/doc/help.rs	generate_long_flag	crates/core/flags/doc/help.rs	remove_roff
crates/core/flags/doc/help.rs	generate_long_flag	crates/core/flags/doc/mod.rs	render_custom_markup
crates/core/flags/doc/help.rs	generate_long_flag	crates/core/flags/mod.rs	doc_long
crates/core/flags/doc/help.rs	generate_long_flag	crates/core/flags/mod.rs	doc_variable
crates/core/flags/doc/help.rs	generate_long_flag	crates/core/flags/mod.rs	is_switch
crates/core/flags/doc/help.rs	generate_long_flag	crates/core/flags/mod.rs	name_long
crates/core/flags/doc/help.rs	generate_long_flag	crates/core/flags/mod.rs	name_negated
crates/core/flags/doc/help.rs	generate_long_flag	crates/core/flags/mod.rs	name_short
crates/core/flags/doc/help.rs	generate_long_flag	crates/core/flags/parse.rs	lookup
crates/core/flags/doc/help.rs	generate_short	crates/core/flags/doc/version.rs	generate_digits
crates/core/flags/doc/help.rs	generate_short_flag	crates/core/flags/mod.rs	doc_variable
crates/core/flags/doc/help.rs	generate_short_flag	crates/core/flags/mod.rs	name_short
crates/core/flags/doc/man.rs	generate	crates/core/flags/doc/version.rs	generate_digits
crates/core/flags/doc/man.rs	generate_flag	crates/core/flags/doc/mod.rs	render_custom_markup
crates/core/flags/doc/man.rs	generate_flag	crates/core/flags/mod.rs	doc_long
crates/core/flags/doc/man.rs	generate_flag	crates/core/flags/mod.rs	doc_variable
crates/core/flags/doc/man.rs	generate_flag	crates/core/flags/mod.rs	is_switch
crates/core/flags/doc/man.rs	generate_flag	crates/core/flags/mod.rs	name_long
crates/core/flags/doc/man.rs	generate_flag	crates/core/flags/mod.rs	name_negated
crates/core/flags/doc/man.rs	generate_flag	crates/core/flags/mod.rs	name_short
crates/core/flags/doc/man.rs	generate_flag	crates/core/flags/parse.rs	lookup
crates/core/flags/doc/version.rs	generate_long	crates/core/flags/doc/version.rs	compile_cpu_features
crates/core/flags/doc/version.rs	generate_long	crates/core/flags/doc/version.rs	generate_pcre2
crates/core/flags/doc/version.rs	generate_long	crates/core/flags/doc/version.rs	runtime_cpu_features
crates/core/flags/doc/version.rs	generate_short	crates/core/flags/doc/version.rs	generate_digits
crates/core/flags/hiargs.rs	buffer_writer	/Users/chrishafley/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/termcolor-1.4.1/src/lib.rs	separator
crates/core/flags/hiargs.rs	buffer_writer	/Users/chrishafley/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/termcolor-1.4.1/src/lib.rs	stdout
crates/core/flags/hiargs.rs	buffer_writer	crates/core/flags/lowargs.rs	to_termcolor
crates/core/flags/hiargs.rs	from_low_args	crates/cli/src/lib.rs	is_readable_stdin
crates/core/flags/hiargs.rs	from_low_args	crates/core/flags/defs.rs	indexing_unsupported_flag
crates/core/flags/hiargs.rs	from_low_args	crates/core/flags/hiargs.rs	from_low_args
crates/core/flags/hiargs.rs	from_low_args	crates/core/flags/hiargs.rs	stats
crates/core/flags/hiargs.rs	from_low_args	crates/core/flags/hiargs.rs	take_color_specs
crates/core/flags/hiargs.rs	from_low_args	crates/core/flags/lowargs.rs	get
crates/core/flags/hiargs.rs	from_low_args	crates/searcher/src/searcher/mmap.rs	auto
crates/core/flags/hiargs.rs	from_low_args	crates/searcher/src/searcher/mmap.rs	never
crates/core/flags/hiargs.rs	from_low_args	crates/searcher/src/searcher/mod.rs	convert
crates/core/flags/hiargs.rs	from_low_args	crates/searcher/src/searcher/mod.rs	none
crates/core/flags/hiargs.rs	from_low_args	crates/searcher/src/searcher/mod.rs	quit
crates/core/flags/hiargs.rs	globs	crates/ignore/src/overrides.rs	case_insensitive
crates/core/flags/hiargs.rs	globs	crates/ignore/src/overrides.rs	empty
crates/core/flags/hiargs.rs	globs	crates/ignore/src/overrides.rs	new
crates/core/flags/hiargs.rs	haystack_builder	crates/core/haystack.rs	new
crates/core/flags/hiargs.rs	haystack_builder	crates/core/haystack.rs	strip_dot_prefix
crates/core/flags/hiargs.rs	hostname	crates/cli/src/decompress.rs	resolve_binary
crates/core/flags/hiargs.rs	hostname	crates/cli/src/process.rs	new
crates/core/flags/hiargs.rs	hostname	crates/core/flags/hiargs.rs	platform_hostname
crates/core/flags/hiargs.rs	is_none	crates/searcher/src/searcher/mod.rs	none
crates/core/flags/hiargs.rs	matcher	crates/core/flags/hiargs.rs	matcher_pcre2
crates/core/flags/hiargs.rs	matcher	crates/core/flags/hiargs.rs	matcher_rust
crates/core/flags/hiargs.rs	matcher_rust	crates/core/flags/hiargs.rs	is_none
crates/core/flags/hiargs.rs	matcher_rust	crates/core/search.rs	RustRegex
crates/core/flags/hiargs.rs	matcher_rust	crates/regex/src/matcher.rs	ban_byte
crates/core/flags/hiargs.rs	matcher_rust	crates/regex/src/matcher.rs	build_many
crates/core/flags/hiargs.rs	matcher_rust	crates/regex/src/matcher.rs	case_insensitive
crates/core/flags/hiargs.rs	matcher_rust	crates/regex/src/matcher.rs	case_smart
crates/core/flags/hiargs.rs	matcher_rust	crates/regex/src/matcher.rs	crlf
crates/core/flags/hiargs.rs	matcher_rust	crates/regex/src/matcher.rs	dfa_size_limit
crates/core/flags/hiargs.rs	matcher_rust	crates/regex/src/matcher.rs	dot_matches_new_line
crates/core/flags/hiargs.rs	matcher_rust	crates/regex/src/matcher.rs	fixed_strings
crates/core/flags/hiargs.rs	matcher_rust	crates/regex/src/matcher.rs	line_terminator
crates/core/flags/hiargs.rs	matcher_rust	crates/regex/src/matcher.rs	multi_line
crates/core/flags/hiargs.rs	matcher_rust	crates/regex/src/matcher.rs	new
crates/core/flags/hiargs.rs	matcher_rust	crates/regex/src/matcher.rs	octal
crates/core/flags/hiargs.rs	matcher_rust	crates/regex/src/matcher.rs	size_limit
crates/core/flags/hiargs.rs	matcher_rust	crates/regex/src/matcher.rs	unicode
crates/core/flags/hiargs.rs	matcher_rust	crates/regex/src/matcher.rs	whole_line
crates/core/flags/hiargs.rs	matcher_rust	crates/regex/src/matcher.rs	word
crates/core/flags/hiargs.rs	path_printer_builder	crates/printer/src/path.rs	color_specs
crates/core/flags/hiargs.rs	path_printer_builder	crates/printer/src/path.rs	hyperlink
crates/core/flags/hiargs.rs	path_printer_builder	crates/printer/src/path.rs	new
crates/core/flags/hiargs.rs	path_printer_builder	crates/printer/src/path.rs	separator
crates/core/flags/hiargs.rs	path_printer_builder	crates/printer/src/path.rs	terminator
crates/core/flags/hiargs.rs	platform_hostname	crates/cli/src/hostname.rs	hostname
crates/core/flags/hiargs.rs	preprocessor_globs	crates/ignore/src/overrides.rs	empty
crates/core/flags/hiargs.rs	preprocessor_globs	crates/ignore/src/overrides.rs	new
crates/core/flags/hiargs.rs	printer	crates/core/flags/hiargs.rs	printer_json
crates/core/flags/hiargs.rs	printer	crates/core/flags/hiargs.rs	printer_standard
crates/core/flags/hiargs.rs	printer	crates/core/flags/hiargs.rs	printer_summary
crates/core/flags/hiargs.rs	printer	crates/core/search.rs	JSON
crates/core/flags/hiargs.rs	printer	crates/core/search.rs	Standard
crates/core/flags/hiargs.rs	printer	crates/core/search.rs	Summary
crates/core/flags/hiargs.rs	printer_json	crates/printer/src/json.rs	always_begin_end
crates/core/flags/hiargs.rs	printer_json	crates/printer/src/json.rs	build
crates/core/flags/hiargs.rs	printer_json	crates/printer/src/json.rs	new
crates/core/flags/hiargs.rs	printer_json	crates/printer/src/json.rs	pretty
crates/core/flags/hiargs.rs	printer_json	crates/printer/src/json.rs	replacement
crates/core/flags/hiargs.rs	printer_standard	crates/printer/src/standard.rs	build
crates/core/flags/hiargs.rs	printer_standard	crates/printer/src/standard.rs	byte_offset
crates/core/flags/hiargs.rs	printer_standard	crates/printer/src/standard.rs	color_specs
crates/core/flags/hiargs.rs	printer_standard	crates/printer/src/standard.rs	column
