cmd/tsgo/sys.go	childProcess	internal/contentmapper/hostimpl.go	processExitState
internal/api/proto.go	GetReferencedSymbolsForNodeParams	internal/api/proto.go	NodeHandle
internal/api/proto.go	GetReferencedSymbolsForNodeParams	internal/api/proto.go	ProjectID
internal/api/proto.go	GetReferencedSymbolsForNodeParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	GetReferencesToSymbolInFileParams	internal/api/proto.go	DocumentIdentifier
internal/api/proto.go	GetReferencesToSymbolInFileParams	internal/api/proto.go	ProjectID
internal/api/proto.go	GetReferencesToSymbolInFileParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	GetReferencesToSymbolInFileParams	internal/api/proto.go	SymbolID
internal/api/proto.go	GetResolvedSignatureParams	internal/api/proto.go	NodeHandle
internal/api/proto.go	GetResolvedSignatureParams	internal/api/proto.go	ProjectID
internal/api/proto.go	GetResolvedSignatureParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	GetSignaturePropertyParams	internal/api/proto.go	ProjectID
internal/api/proto.go	GetSignaturePropertyParams	internal/api/proto.go	SignatureID
internal/api/proto.go	GetSignaturePropertyParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	GetSignatureUsagesParams	internal/api/proto.go	NodeHandle
internal/api/proto.go	GetSignatureUsagesParams	internal/api/proto.go	ProjectID
internal/api/proto.go	GetSignatureUsagesParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	GetSignaturesOfTypeParams	internal/api/proto.go	ProjectID
internal/api/proto.go	GetSignaturesOfTypeParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	GetSignaturesOfTypeParams	internal/api/proto.go	TypeID
internal/api/proto.go	GetSourceFileNamesParams	internal/api/proto.go	ProjectID
internal/api/proto.go	GetSourceFileNamesParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	GetSourceFileParams	internal/api/proto.go	DocumentIdentifier
internal/api/proto.go	GetSourceFileParams	internal/api/proto.go	ProjectID
internal/api/proto.go	GetSourceFileParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	GetSymbolAtLocationParams	internal/api/proto.go	NodeHandle
internal/api/proto.go	GetSymbolAtLocationParams	internal/api/proto.go	ProjectID
internal/api/proto.go	GetSymbolAtLocationParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	GetSymbolAtPositionParams	internal/api/proto.go	DocumentIdentifier
internal/api/proto.go	GetSymbolAtPositionParams	internal/api/proto.go	ProjectID
internal/api/proto.go	GetSymbolAtPositionParams	internal/api/proto.go	SnapshotID
