budget	fanout	rows	batch_size	maintenance	state	repetitions	affected_rows	join_affected_rows	output_rows	output_bytes	update_transaction_median_ms	update_transaction_min_ms	update_transaction_max_ms	query_compute_median_ms	query_compute_min_ms	query_compute_max_ms	update_plus_query_median_ms	update_plus_query_min_ms	update_plus_query_max_ms	client_transfer_median_ms	checksum_median_ms
constrained	200	400	10	dd	initial	5	0	0	20	244	0.000000	0.000000	0.000000	0.000458	0.000250	0.000500	0.000458	0.000250	0.000500		
constrained	200	400	10	dd	insert_batch	5	10	10	20	247	0.038334	0.035292	0.109084	0.000125	0.000083	0.000250	0.038459	0.035375	0.109334		
constrained	200	400	10	dd	update_batch	5	10	10	20	248	0.036042	0.035000	0.045542	0.000125	0.000084	0.000166	0.036126	0.035125	0.045626		
constrained	200	400	10	pg_ivm	delete_batch	5	10	10	20	249	0.727209	0.699792	0.797459	0.732917	0.669459	0.842750	1.457417	1.369251	1.640209	0.087417	0.058625
constrained	200	400	10	pg_ivm	dimension_fanout	5	1	200	20	249	0.781917	0.684542	0.970500	0.594375	0.507583	0.809042	1.443500	1.192125	1.685958	0.057667	0.050375
constrained	200	400	10	pg_ivm	initial	5	0	0	20	244	0.000000	0.000000	0.000000	0.969959	0.838958	1.152209	0.969959	0.838958	1.152209	0.164750	0.447750
constrained	200	400	10	pg_ivm	insert_batch	5	10	10	20	247	1.044333	0.925583	1.226084	0.893583	0.621209	0.999750	1.937916	1.546792	2.144084	0.105000	0.095542
constrained	200	400	10	pg_ivm	update_batch	5	10	10	20	248	0.929917	0.869750	0.972958	0.682333	0.656583	0.907541	1.607542	1.526333	1.876249	0.058500	0.054625
constrained	200	400	10	sqlite-template-group	delete_batch	5	10	10	20	249	0.453750	0.346875	0.508375	0.045125	0.037583	0.132375	0.505583	0.384458	0.640750		
constrained	200	400	10	sqlite-template-group	dimension_fanout	5	1	200	20	249	0.299750	0.239333	0.305000	0.050833	0.033583	0.093625	0.350583	0.272916	0.379125		
constrained	200	400	10	sqlite-template-group	initial	5	0	0	20	244	0.000000	0.000000	0.000000	0.065458	0.062041	0.074667	0.065458	0.062041	0.074667		
constrained	200	400	10	sqlite-template-group	insert_batch	5	10	10	20	247	0.423209	0.403792	0.440959	0.064292	0.041875	0.085625	0.505251	0.445667	0.514126		
constrained	200	400	10	sqlite-template-group	update_batch	5	10	10	20	248	0.461417	0.398334	0.552667	0.072500	0.035459	0.098833	0.535292	0.433793	0.625167		
constrained	200	1200	10	dd	delete_batch	5	10	10	35	448	0.036042	0.033250	0.087875	0.000167	0.000166	0.000334	0.036208	0.033416	0.088209		
constrained	200	1200	10	dd	dimension_fanout	5	1	200	35	450	0.039250	0.035292	0.069583	0.000125	0.000084	0.000375	0.039334	0.035417	0.069958		
constrained	200	1200	10	dd	initial	5	0	0	35	444	0.000000	0.000000	0.000000	0.000416	0.000334	0.000584	0.000416	0.000334	0.000584		
constrained	200	1200	10	dd	insert_batch	5	10	10	35	449	0.040042	0.038917	0.044459	0.000167	0.000166	0.000208	0.040208	0.039084	0.044626		
