engine	scale	status	semantics_or_reason	memory_scope	memory_limit_scope
pglite-query	2x20	ok	ordinary recursive SQL full recomputation; timed phases end after materialization and count; exact before=da93734e93ce56d772ff68daf973ee1fb87cd8c4b1c52cdb3f59cc621f38d316 after=03341116f274a33f3e3417b09b21c9eea092fef5a70ad9d80e6917f65fb9c22a; untimed transfer_ms before=0.368 after=0.227; untimed checksum_validation_ms before=0.864 after=0.027; PostgreSQL 18.3	sampled RSS of the Node process containing PGlite WASM	DL_MEMCAP_MB=4096 limits Node old-space only; total process RSS is unenforced
native-postgres-query	2x20	ok	ordinary recursive SQL full recomputation; timed phases end after materialization and count; exact before=da93734e93ce56d772ff68daf973ee1fb87cd8c4b1c52cdb3f59cc621f38d316 after=03341116f274a33f3e3417b09b21c9eea092fef5a70ad9d80e6917f65fb9c22a; untimed transfer_ms before=0.183 after=0.134; untimed checksum_validation_ms before=0.321 after=0.022; PostgreSQL 18.6	sampled sum of Node client and disposable PostgreSQL process-tree RSS; shared mappings may be counted more than once	DL_MEMCAP_MB=4096 is unenforced for total PostgreSQL memory
pglite-pg_ivm	2x20	unsupported	pg_ivm rejects recursive WITH RECURSIVE view definitions	no process started	not applicable
native-postgres-pg_ivm	2x20	unsupported	pg_ivm rejects recursive WITH RECURSIVE view definitions	no process started	not applicable
