budget	rows	batch_size	fanout	paired_trials	logged_over_disabled_median	ratio_min	ratio_max	process_wall_logged_over_disabled_median
constrained	400	10	10	5	0.828908	0.705673	1.245113	1.033069
constrained	12000	10	10	5	1.210678	0.733617	4.973893	0.994166
constrained	400	10	200	5	0.974162	0.163288	1.196760	0.998462
constrained	1200	10	200	5	0.902925	0.463702	1.918270	0.980591
constrained	4000	10	200	5	1.052935	0.906082	1.211677	0.992320
constrained	12000	10	200	5	1.170760	0.972750	2.365707	1.033935
constrained	12000	1000	200	5	1.056295	0.899750	1.096729	0.976443
constrained	12000	1	200	5	0.968472	0.825764	1.464559	0.989826
constrained	12000	100	200	5	1.069836	0.973214	1.224294	1.005208
