budget	rows	batch_size	fanout	arm	successful_trials	median_ms	min_ms	max_ms	states_per_arm	final_input_hash	final_checksum
constrained	4000	10	200	dd	5	0.157958	0.156001	0.265333	5	7eca5e6f8b74f9e5afc7c7b48e1103dbaf8eaf16ba2fb6f617128736a62bc6ed	6c264efe8daf8812c7b6ed165ea835ac880c83e5cd22f1b07421b0bb189deb21
constrained	4000	10	200	sqlite-plugin-delta	5	1.768418	1.541081	2.217998	5	7eca5e6f8b74f9e5afc7c7b48e1103dbaf8eaf16ba2fb6f617128736a62bc6ed	6c264efe8daf8812c7b6ed165ea835ac880c83e5cd22f1b07421b0bb189deb21
constrained	4000	10	200	sqlite-plugin-logged	5	1.873793	1.591041	1.947750	5	7eca5e6f8b74f9e5afc7c7b48e1103dbaf8eaf16ba2fb6f617128736a62bc6ed	6c264efe8daf8812c7b6ed165ea835ac880c83e5cd22f1b07421b0bb189deb21
constrained	12000	10	200	pg_ivm	5	8.184459	7.414292	8.355625	5	e1e336a92e9ad053a9ec45f239ec98ce09a90b4e8d6e8f76aa07d7096ef816e8	fa652edc3e18c0d9fa35d123b2557b8497dae78b5f40cca097477ef0025259c6
constrained	12000	10	200	sqlite-template-group	5	4.003708	3.804834	4.046333	5	e1e336a92e9ad053a9ec45f239ec98ce09a90b4e8d6e8f76aa07d7096ef816e8	fa652edc3e18c0d9fa35d123b2557b8497dae78b5f40cca097477ef0025259c6
constrained	12000	10	200	dd	5	0.202624	0.164290	0.278666	5	e1e336a92e9ad053a9ec45f239ec98ce09a90b4e8d6e8f76aa07d7096ef816e8	fa652edc3e18c0d9fa35d123b2557b8497dae78b5f40cca097477ef0025259c6
constrained	12000	10	200	sqlite-plugin-delta	5	1.816915	1.759709	2.081625	5	e1e336a92e9ad053a9ec45f239ec98ce09a90b4e8d6e8f76aa07d7096ef816e8	fa652edc3e18c0d9fa35d123b2557b8497dae78b5f40cca097477ef0025259c6
constrained	12000	10	200	sqlite-plugin-logged	5	1.843333	1.783792	1.957709	5	e1e336a92e9ad053a9ec45f239ec98ce09a90b4e8d6e8f76aa07d7096ef816e8	fa652edc3e18c0d9fa35d123b2557b8497dae78b5f40cca097477ef0025259c6
constrained	12000	1000	200	pg_ivm	5	20.571541	19.006458	25.424957	5	7aefe61db4d05f6cff1b0f7d39a10129a591290f5661d1f674243dd8b7ae2812	37a855bf4e75587e4d18e6426b94e5fcef60be731c273d66e28e6a791690c188
constrained	12000	1000	200	sqlite-template-group	5	170.059458	165.782249	185.511833	5	7aefe61db4d05f6cff1b0f7d39a10129a591290f5661d1f674243dd8b7ae2812	37a855bf4e75587e4d18e6426b94e5fcef60be731c273d66e28e6a791690c188
constrained	12000	1000	200	dd	5	1.096584	0.948625	1.198623	5	7aefe61db4d05f6cff1b0f7d39a10129a591290f5661d1f674243dd8b7ae2812	37a855bf4e75587e4d18e6426b94e5fcef60be731c273d66e28e6a791690c188
constrained	12000	1000	200	sqlite-plugin-delta	5	25.413958	23.992292	25.846958	5	7aefe61db4d05f6cff1b0f7d39a10129a591290f5661d1f674243dd8b7ae2812	37a855bf4e75587e4d18e6426b94e5fcef60be731c273d66e28e6a791690c188
constrained	12000	1000	200	sqlite-plugin-logged	5	27.571375	26.385002	30.331126	5	7aefe61db4d05f6cff1b0f7d39a10129a591290f5661d1f674243dd8b7ae2812	37a855bf4e75587e4d18e6426b94e5fcef60be731c273d66e28e6a791690c188
constrained	12000	1	200	pg_ivm	5	7.319625	6.996832	7.540959	5	087a6b1f6a7ecfcf407ba757642f017f42d0f3b6cf1b402ad3ebfb3f5e4d88f7	45710527430fb7b6b359ffd6e7232bafb1923372c8e69c70ef11caa12a78ed1d
constrained	12000	1	200	sqlite-template-group	5	2.113707	1.916127	2.225711	5	087a6b1f6a7ecfcf407ba757642f017f42d0f3b6cf1b402ad3ebfb3f5e4d88f7	45710527430fb7b6b359ffd6e7232bafb1923372c8e69c70ef11caa12a78ed1d
constrained	12000	1	200	dd	5	0.184919	0.143582	0.287710	5	087a6b1f6a7ecfcf407ba757642f017f42d0f3b6cf1b402ad3ebfb3f5e4d88f7	45710527430fb7b6b359ffd6e7232bafb1923372c8e69c70ef11caa12a78ed1d
constrained	12000	1	200	sqlite-plugin-delta	5	1.796958	1.669708	1.910333	5	087a6b1f6a7ecfcf407ba757642f017f42d0f3b6cf1b402ad3ebfb3f5e4d88f7	45710527430fb7b6b359ffd6e7232bafb1923372c8e69c70ef11caa12a78ed1d
constrained	12000	1	200	sqlite-plugin-logged	5	1.553585	1.466459	1.632916	5	087a6b1f6a7ecfcf407ba757642f017f42d0f3b6cf1b402ad3ebfb3f5e4d88f7	45710527430fb7b6b359ffd6e7232bafb1923372c8e69c70ef11caa12a78ed1d
constrained	12000	100	200	pg_ivm	5	10.057707	9.579958	10.437416	5	75ea6b9f4976733f8b616ffe8396b17d480c5812c71df3beb385544a671dd12c	37e23393b3055733e3c54ea325d5662ff9f8b13514b068efd7f8a3a62d04acf7
constrained	12000	100	200	sqlite-template-group	5	20.118001	20.012875	20.670166	5	75ea6b9f4976733f8b616ffe8396b17d480c5812c71df3beb385544a671dd12c	37e23393b3055733e3c54ea325d5662ff9f8b13514b068efd7f8a3a62d04acf7
constrained	12000	100	200	dd	5	0.362583	0.323540	0.432249	5	75ea6b9f4976733f8b616ffe8396b17d480c5812c71df3beb385544a671dd12c	37e23393b3055733e3c54ea325d5662ff9f8b13514b068efd7f8a3a62d04acf7
constrained	12000	100	200	sqlite-plugin-delta	5	5.477584	5.417086	5.981707	5	75ea6b9f4976733f8b616ffe8396b17d480c5812c71df3beb385544a671dd12c	37e23393b3055733e3c54ea325d5662ff9f8b13514b068efd7f8a3a62d04acf7
constrained	12000	100	200	sqlite-plugin-logged	5	6.961250	5.602250	7.572791	5	75ea6b9f4976733f8b616ffe8396b17d480c5812c71df3beb385544a671dd12c	37e23393b3055733e3c54ea325d5662ff9f8b13514b068efd7f8a3a62d04acf7
