budget	rows	batch_size	fanout	status	successful_triples	states_per_arm	pg_ivm_median_ms	pg_ivm_min_ms	pg_ivm_max_ms	sqlite_affected_group_median_ms	sqlite_affected_group_min_ms	sqlite_affected_group_max_ms	dd_median_ms	dd_min_ms	dd_max_ms	pg_ivm_over_sqlite_median_ratio	pg_ivm_over_dd_median_ratio	sqlite_over_dd_median_ratio	final_input_hash	final_checksum
constrained	400	10	10	measured	5	5	5.889874	5.431207	7.249752	1.744291	1.625791	1.810582	0.139751	0.138332	0.207333	3.340655	41.108536	12.461149	42b8618996cb3fc8f98b19b55c825ee62ec89e075d987e6a7cd62be557622ece	2280b39b174a08246150f25505cb79e2cd7321a215f121e7e75b65e7c1d2cc1f
constrained	12000	10	10	measured	5	5	11.304458	8.877792	18.721835	4.235793	3.898168	6.008875	0.314710	0.228875	0.657083	2.576098	44.048245	15.325479	0f6725bcfcf027eea159d800d54bbbf905689b085de919faaa3bdd8406b4507c	965080100ce9e71aa78a9493dbc09863be6d412b213c3a9b1b90e1dcc06b4540
constrained	400	10	200	measured	5	5	7.158501	6.277875	8.517999	1.769542	1.594875	2.378959	0.148459	0.145001	0.153500	3.936280	47.380934	11.712306	80ecb845449fc678e06bb74de31fa1df921e3246ef9ae170a040302f69b87cb6	377e6ce5bfd1c536ea31668d5caa41219a6cd69ea4231c97002b87cb9c8d0706
constrained	1200	10	200	measured	5	5	7.361541	6.794584	9.927666	2.668584	2.375624	4.864418	0.155834	0.147582	0.266876	2.729975	47.519259	15.616508	2fabc2745e87bb3614339de3da34fcfda3802e32f5cae798f4d2636ac99975a9	7c935da0b1eb7913e5852d79c288a029bfb03d74792e0b682740b25113246d4b
constrained	4000	10	200	measured	5	5	6.913502	6.737915	9.238040	3.567084	3.050832	3.712291	0.169750	0.146749	0.236624	2.133714	46.679201	20.789457	7eca5e6f8b74f9e5afc7c7b48e1103dbaf8eaf16ba2fb6f617128736a62bc6ed	6c264efe8daf8812c7b6ed165ea835ac880c83e5cd22f1b07421b0bb189deb21
constrained	12000	10	200	measured	5	5	7.905042	7.180749	8.807207	4.008373	3.867708	5.840834	0.251416	0.167502	0.262335	1.924266	35.030416	15.943189	e1e336a92e9ad053a9ec45f239ec98ce09a90b4e8d6e8f76aa07d7096ef816e8	fa652edc3e18c0d9fa35d123b2557b8497dae78b5f40cca097477ef0025259c6
constrained	12000	1000	200	measured	5	5	27.802000	21.801750	45.370831	174.194294	170.918125	182.638207	1.151252	1.119876	1.309833	0.152224	21.225607	151.308570	7aefe61db4d05f6cff1b0f7d39a10129a591290f5661d1f674243dd8b7ae2812	37a855bf4e75587e4d18e6426b94e5fcef60be731c273d66e28e6a791690c188
constrained	12000	1	200	measured	5	5	7.806832	7.578084	8.133876	2.296833	2.242333	2.351876	0.228250	0.168624	0.360208	3.406371	34.829651	10.303947	087a6b1f6a7ecfcf407ba757642f017f42d0f3b6cf1b402ad3ebfb3f5e4d88f7	45710527430fb7b6b359ffd6e7232bafb1923372c8e69c70ef11caa12a78ed1d
constrained	12000	100	200	measured	5	5	10.807542	10.356666	11.365624	20.042168	19.913292	20.550833	0.399208	0.331168	0.479376	0.533389	27.072458	51.479011	75ea6b9f4976733f8b616ffe8396b17d480c5812c71df3beb385544a671dd12c	37e23393b3055733e3c54ea325d5662ff9f8b13514b068efd7f8a3a62d04acf7
