budget	rows	batch_size	fanout	paired_trials	logged_over_disabled_median	ratio_min	ratio_max	process_wall_logged_over_disabled_median
constrained	400	10	10	5	0.956047	0.890626	1.190113	1.023921
constrained	12000	10	10	5	1.016462	0.918196	1.112641	0.981210
constrained	400	10	200	5	0.868508	0.836294	0.895566	1.006936
constrained	1200	10	200	5	0.949039	0.876321	0.991274	0.998689
constrained	4000	10	200	5	1.088428	0.808609	1.216301	0.996023
constrained	12000	10	200	5	0.934286	0.921339	1.056127	0.999254
constrained	12000	1000	200	5	1.096563	1.044071	1.145321	1.023689
constrained	12000	1	200	5	0.982853	0.923679	4.792014	1.004771
constrained	12000	100	200	5	1.325076	0.978889	1.433831	1.014146
