budget	rows	batch_size	fanout	paired_trials	logged_over_disabled_median	ratio_min	ratio_max	process_wall_logged_over_disabled_median
constrained	400	10	10	5	0.895469	0.824368	0.938026	1.007427
constrained	12000	10	10	5	1.034278	0.904905	1.157348	1.019736
constrained	400	10	200	5	0.843679	0.790045	0.903953	1.000159
constrained	1200	10	200	5	1.040849	0.540754	1.364993	0.978788
constrained	4000	10	200	5	1.041605	0.878157	1.081843	1.011784
constrained	12000	10	200	5	0.985271	0.924762	1.112519	1.004096
constrained	12000	1000	200	5	1.100609	1.055469	1.173489	1.019151
constrained	12000	1	200	5	0.846303	0.813253	0.977965	0.989097
constrained	12000	100	200	5	1.265992	1.033816	1.293048	1.014781
