epoch_seconds	engine	scale	available_percent
1788840810	sqlite-signed-delta-v2	2x200	58
1788840810	sqlite-signed-delta-v2	6x2000	58
1788840810	sqlite-signed-delta-v2	8x20000	58
1788840811	tsv2-runtime	2x200	58
1788840811	tsv2-runtime	6x2000	58
1788840812	tsv2-runtime	8x20000	59
1788840820	sprefa-engine-rs	2x200	58
1788840820	sprefa-engine-rs	6x2000	58
1788840821	sprefa-engine-rs	8x20000	58
1788840824	pglite-query	2x200	58
1788840825	pglite-query	6x2000	58
1788840826	pglite-query	8x20000	58
1788840830	native-postgres-query	2x200	58
1788840830	native-postgres-query	6x2000	58
1788840830	native-postgres-query	8x20000	58
1788840831	pglite-pg_ivm	2x200	58
1788840831	pglite-pg_ivm	6x2000	58
1788840831	pglite-pg_ivm	8x20000	58
1788840831	native-postgres-pg_ivm	2x200	58
1788840831	native-postgres-pg_ivm	6x2000	58
1788840831	native-postgres-pg_ivm	8x20000	58
1788840831	swi-incr	2x200	58
1788840831	swi-incr	6x2000	58
1788840832	swi-incr	8x20000	58
1788840835	differential-dataflow	2x200	58
1788840835	differential-dataflow	6x2000	58
1788840835	differential-dataflow	8x20000	58
1788840836	sqlite-count	2x200	58
1788840836	sqlite-count	6x2000	58
1788840836	sqlite-count	8x20000	58
1788840836	sqlite-count-scc	2x200	58
1788840836	sqlite-count-scc	6x2000	58
1788840837	sqlite-count-scc	8x20000	58
1788840838	sqlite-dred-loop	2x200	58
1788840838	sqlite-dred-loop	6x2000	58
1788840838	sqlite-dred-loop	8x20000	58
1788840839	sqlite-dred-cte	2x200	58
1788840839	sqlite-dred-cte	6x2000	58
1788840839	sqlite-dred-cte	8x20000	58
