cli:check	ts:v6/tsv2/cli/bop.ts#check	bridge
pl:v6/prolog/0_program_check.pl#program_violation/3	pl:v6/prolog/0_type_plane.pl#type_definitions/2	calls
pl:v6/prolog/0_program_check.pl#program_violation/3	pl:v6/prolog/compile/registry.pl#surface/5	calls
pl:v6/prolog/0_program_check.pl#program_violation/3	pl:v6/prolog/compile/registry.pl#surface_for_term/6	calls
pl:v6/prolog/0_program_check.pl#relation_argument_violation/6	pl:v6/prolog/0_type_plane.pl#declared_type_name/2	calls
pl:v6/prolog/0_program_check.pl#relation_argument_violation/6	pl:v6/prolog/0_type_plane.pl#relation_value_shape/3	calls
pl:v6/prolog/0_program_check.pl#relation_argument_violation/6	pl:v6/prolog/0_type_plane.pl#type_definition/4	calls
pl:v6/prolog/0_program_check.pl#relation_kind/3	pl:v6/prolog/0_program_check.pl#module	resides
pl:v6/prolog/0_program_check.pl#relation_value_in_ref_column/7	pl:v6/prolog/0_type_plane.pl#declared_type_name/2	calls
pl:v6/prolog/0_program_check.pl#relation_value_in_ref_column/7	pl:v6/prolog/0_type_plane.pl#relation_columns_and_types/5	calls
pl:v6/prolog/0_program_check.pl#relation_value_in_ref_column/7	pl:v6/prolog/0_type_plane.pl#relation_value_shape/3	calls
pl:v6/prolog/0_program_check.pl#rule_column_variable/7	pl:v6/prolog/0_type_plane.pl#relation_columns_and_types/5	calls
pl:v6/prolog/0_program_check.pl#rule_is_edge/1	pl:v6/prolog/0_program_check.pl#module	resides
pl:v6/prolog/0_program_check.pl#surface_row_is_live_aggregate/1	pl:v6/prolog/compile/registry.pl#surface/5	calls
pl:v6/prolog/0_refusal_messages.pl#module	pl:v6/prolog/compile/3_clock_check.pl#clock_refusal_reason/1	calls
pl:v6/prolog/0_refusal_messages.pl#module	pl:v6/prolog/compile/analyze.pl#compiler_refusal/3	calls
pl:v6/prolog/0_refusal_messages.pl#module	pl:v6/prolog/compile/analyze.pl#edge_goal_refusal/4	calls
pl:v6/prolog/0_refusal_messages.pl#module	pl:v6/prolog/compile/analyze.pl#edge_trigger_shape/2	calls
pl:v6/prolog/0_refusal_messages.pl#module	pl:v6/prolog/compile/analyze.pl#reserved_construct_name/3	calls
pl:v6/prolog/0_refusal_messages.pl#module	pl:v6/prolog/compile/registry.pl#surface/5	calls
pl:v6/prolog/0_refusal_messages.pl#refusal_inventory_entry/2	pl:v6/prolog/compile/registry.pl#surface/5	calls
pl:v6/prolog/0_refusal_messages.pl#refusal_reason_producer/1	pl:v6/prolog/compile/3_clock_check.pl#clock_refusal_reason/1	calls
pl:v6/prolog/0_refusal_messages.pl#refusal_reason_producer/1	pl:v6/prolog/compile/analyze.pl#compiler_refusal/3	calls
pl:v6/prolog/0_refusal_messages.pl#refusal_reason_producer/1	pl:v6/prolog/compile/analyze.pl#edge_goal_refusal/4	calls
pl:v6/prolog/0_refusal_messages.pl#refusal_reason_producer/1	pl:v6/prolog/compile/analyze.pl#edge_trigger_shape/2	calls
pl:v6/prolog/0_refusal_messages.pl#refusal_reason_producer/1	pl:v6/prolog/compile/analyze.pl#reserved_construct_name/3	calls
pl:v6/prolog/0_relation_edge_expand.pl#body_reads_identical_target/2	pl:v6/prolog/0_body_walk.pl#walk_body/3	calls
pl:v6/prolog/0_relation_edge_expand.pl#expand_relation_edges_in_context/3	pl:v6/prolog/0_type_plane.pl#type_definitions/2	calls
pl:v6/prolog/0_relation_edge_expand.pl#module	pl:v6/prolog/0_body_walk.pl#walk_body/3	calls
pl:v6/prolog/0_relation_edge_expand.pl#module	pl:v6/prolog/0_type_plane.pl#declared_type_name/2	calls
pl:v6/prolog/0_relation_edge_expand.pl#module	pl:v6/prolog/0_type_plane.pl#type_definition/4	calls
pl:v6/prolog/0_relation_edge_expand.pl#module	pl:v6/prolog/0_type_plane.pl#type_definitions/2	calls
