budget	fanout	rows	batch_size	maintenance	state	repetitions	affected_rows	join_affected_rows	output_rows	output_bytes	update_transaction_median_ms	update_transaction_min_ms	update_transaction_max_ms	query_compute_median_ms	query_compute_min_ms	query_compute_max_ms	update_plus_query_median_ms	update_plus_query_min_ms	update_plus_query_max_ms	client_transfer_median_ms	checksum_median_ms
constrained	4	24	3	dd	clear_edges	3	24		0	0	0.043917	0.041958	0.046250	0.000041	0.000000	0.000042	0.043958	0.042000	0.046250		
constrained	4	24	3	dd	clear_edges	3	24		0	0	0.038625	0.037917	0.040291	0.000041	0.000041	0.000042	0.038666	0.037958	0.040333		
constrained	4	24	3	dd	clear_edges	3	24		0	0	0.045000	0.043542	0.045291	0.000042	0.000000	0.000042	0.045000	0.043584	0.045333		
constrained	4	24	3	dd	clear_edges	3	24		0	0	0.020375	0.020250	0.021667	0.000000	0.000000	0.000042	0.020417	0.020250	0.021667		
constrained	4	24	3	dd	clear_edges	3	24		0	0	0.021208	0.020417	0.021750	0.000042	0.000041	0.000042	0.021250	0.020458	0.021792		
constrained	4	24	3	dd	clear_roots	3	7		12	72	0.010958	0.010875	0.011666	0.000250	0.000250	0.000292	0.011208	0.011167	0.011916		
constrained	4	24	3	dd	clear_roots	3	7		24	149	0.012458	0.012083	0.012583	0.000583	0.000542	0.000584	0.013042	0.012625	0.013166		
constrained	4	24	3	dd	clear_roots	3	7		23	149	0.013958	0.013458	0.014125	0.000500	0.000458	0.000541	0.014458	0.013916	0.014666		
constrained	4	24	3	dd	clear_roots	3	7		0	0	0.026459	0.026041	0.026834	0.000041	0.000000	0.000042	0.026459	0.026083	0.026875		
constrained	4	24	3	dd	clear_roots	3	7		48	316	0.015292	0.015292	0.015333	0.000833	0.000791	0.000833	0.016125	0.016083	0.016166		
constrained	4	24	3	dd	clear_roots	3	7		0	0	0.047750	0.042958	0.048584	0.000041	0.000041	0.000042	0.047791	0.043000	0.048625		
constrained	4	24	3	dd	clear_roots	3	7		25	154	0.029000	0.027334	0.109958	0.000583	0.000542	0.002250	0.029583	0.027876	0.112208		
constrained	4	24	3	dd	clear_roots	3	7		0	0	0.042375	0.040667	0.044000	0.000000	0.000000	0.000041	0.042375	0.040708	0.044000		
constrained	4	24	3	dd	clear_roots	3	7		24	156	0.045291	0.043042	0.160958	0.000542	0.000541	0.002125	0.045833	0.043583	0.163083		
