budget	rows	batch_size	fanout	arm	successful_trials	median_ms	min_ms	max_ms	states_per_arm	final_input_hash	final_checksum	circuit	capability
constrained	24	3	4	sqlite-query	1	1.792460	1.792460	1.792460	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	chain	executed
constrained	24	3	4	sqlite-plugin-delta	0				13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	chain	unsupported
constrained	24	3	4	query	1	5.851623	5.851623	5.851623	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	6cc86e7dc7d3d7c3d072d1a235bf5672d91915b66eca057ddb2f1a7e04fa6956	diamond	executed
constrained	24	3	4	pg_ivm	0				13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	6cc86e7dc7d3d7c3d072d1a235bf5672d91915b66eca057ddb2f1a7e04fa6956	diamond	unsupported
constrained	24	3	4	sqlite-query	1	1.659623	1.659623	1.659623	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	6cc86e7dc7d3d7c3d072d1a235bf5672d91915b66eca057ddb2f1a7e04fa6956	diamond	executed
constrained	24	3	4	sqlite-plugin-delta	0				13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	6cc86e7dc7d3d7c3d072d1a235bf5672d91915b66eca057ddb2f1a7e04fa6956	diamond	unsupported
constrained	24	3	4	query	1	4.800458	4.800458	4.800458	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	12a8b15b18412814dc2bbd953e53e96e43d02c928acef188481e7c4592e06585	semijoin	executed
constrained	24	3	4	pg_ivm	1	14.366043	14.366043	14.366043	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	12a8b15b18412814dc2bbd953e53e96e43d02c928acef188481e7c4592e06585	semijoin	executed
constrained	24	3	4	sqlite-query	1	1.281418	1.281418	1.281418	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	12a8b15b18412814dc2bbd953e53e96e43d02c928acef188481e7c4592e06585	semijoin	executed
constrained	24	3	4	sqlite-plugin-delta	0				13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	12a8b15b18412814dc2bbd953e53e96e43d02c928acef188481e7c4592e06585	semijoin	unsupported
constrained	24	3	4	query	1	4.695792	4.695792	4.695792	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	6c406ad26adf26d4c85556ba6897577e944cd6b668e3f5458b13ce571499f29e	antijoin	executed
constrained	24	3	4	pg_ivm	0				13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	6c406ad26adf26d4c85556ba6897577e944cd6b668e3f5458b13ce571499f29e	antijoin	unsupported
constrained	24	3	4	sqlite-query	1	1.535539	1.535539	1.535539	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	6c406ad26adf26d4c85556ba6897577e944cd6b668e3f5458b13ce571499f29e	antijoin	executed
constrained	24	3	4	sqlite-plugin-delta	0				13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	6c406ad26adf26d4c85556ba6897577e944cd6b668e3f5458b13ce571499f29e	antijoin	unsupported
constrained	24	3	4	query	1	4.986834	4.986834	4.986834	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	5d16ca028a9bff94f6c26d55587b9e1c459157306d5e642356de09cdeef7cd55	aggregate_churn	executed
constrained	24	3	4	pg_ivm	1	18.625542	18.625542	18.625542	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	5d16ca028a9bff94f6c26d55587b9e1c459157306d5e642356de09cdeef7cd55	aggregate_churn	executed
constrained	24	3	4	sqlite-query	1	1.535334	1.535334	1.535334	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	5d16ca028a9bff94f6c26d55587b9e1c459157306d5e642356de09cdeef7cd55	aggregate_churn	executed
constrained	24	3	4	sqlite-plugin-delta	1	5.997875	5.997875	5.997875	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	5d16ca028a9bff94f6c26d55587b9e1c459157306d5e642356de09cdeef7cd55	aggregate_churn	executed
constrained	24	3	4	query	1	8.622832	8.622832	8.622832	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	03a8f4fc370f555713eb6b9125674fcdc17009070282a72fc383060dff904580	reach_cycle	executed
constrained	24	3	4	pg_ivm	0				13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	03a8f4fc370f555713eb6b9125674fcdc17009070282a72fc383060dff904580	reach_cycle	unsupported
constrained	24	3	4	sqlite-query	1	1.627623	1.627623	1.627623	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	03a8f4fc370f555713eb6b9125674fcdc17009070282a72fc383060dff904580	reach_cycle	executed
constrained	24	3	4	sqlite-plugin-delta	0				13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	03a8f4fc370f555713eb6b9125674fcdc17009070282a72fc383060dff904580	reach_cycle	unsupported
