epoch_seconds	engine	scale	available_percent
1788841039	sqlite-signed-delta-v2	2x200	60
1788841039	sqlite-signed-delta-v2	6x2000	60
1788841040	sqlite-signed-delta-v2	8x20000	60
1788841040	tsv2-runtime	2x200	60
1788841041	tsv2-runtime	6x2000	60
1788841041	tsv2-runtime	8x20000	60
1788841051	sprefa-engine-rs	2x200	60
1788841051	sprefa-engine-rs	6x2000	60
1788841051	sprefa-engine-rs	8x20000	60
1788841055	pglite-query	2x200	60
1788841056	pglite-query	6x2000	60
1788841057	pglite-query	8x20000	60
1788841060	native-postgres-query	2x200	61
1788841061	native-postgres-query	6x2000	61
1788841061	native-postgres-query	8x20000	60
1788841062	pglite-pg_ivm	2x200	60
1788841062	pglite-pg_ivm	6x2000	60
1788841062	pglite-pg_ivm	8x20000	60
1788841062	native-postgres-pg_ivm	2x200	60
1788841062	native-postgres-pg_ivm	6x2000	60
1788841062	native-postgres-pg_ivm	8x20000	60
1788841062	swi-incr	2x200	60
1788841062	swi-incr	6x2000	60
1788841063	swi-incr	8x20000	60
1788841066	differential-dataflow	2x200	60
1788841066	differential-dataflow	6x2000	60
1788841067	differential-dataflow	8x20000	60
1788841067	sqlite-count	2x200	60
1788841067	sqlite-count	6x2000	60
1788841067	sqlite-count	8x20000	60
1788841067	sqlite-count-scc	2x200	60
1788841067	sqlite-count-scc	6x2000	60
1788841067	sqlite-count-scc	8x20000	60
1788841068	sqlite-dred-loop	2x200	60
1788841068	sqlite-dred-loop	6x2000	60
1788841068	sqlite-dred-loop	8x20000	60
1788841069	sqlite-dred-cte	2x200	60
1788841069	sqlite-dred-cte	6x2000	61
1788841069	sqlite-dred-cte	8x20000	61
