json_empty_object_pattern_matches_any_object	clean
json_empty_string_key_round_trips	clean
json_key_capture_binds_key_and_value	clean
json_key_capture_nests_and_fans_out	clean
json_marker_shaped_keys_are_ordinary_data	clean
json_nfc_and_nfd_keys_stay_distinct	clean
json_non_ascii_keys_sort_by_code_point	clean
json_null_round_trips_byte_identical	runtime-error
json_object_builds_document	clean
json_object_dup_key_rejected	compiled
json_object_groups_rows_into_documents	clean
json_object_orders_keys	clean
json_object_throws_on_duplicate_keys	compiled
json_patch_fold_merges_arrival_documents	runtime-error
json_patch_fold_result_is_key_sorted	runtime-error
json_patch_merges_nested_objects_recursively	runtime-error
json_patch_non_object_patch_replaces_the_document	runtime-error
json_patch_non_object_target_becomes_empty	runtime-error
json_patch_null_value_composes	runtime-error
json_patch_null_value_sets_key	runtime-error
json_patch_replaces_arrays_wholesale	runtime-error
json_round_trip_decode_to_document	unsupported
json_safe_integer_boundary_survives_both_doors	runtime-error
json_spread_and_capture_and_descent_multiply	clean
json_string_control_escapes_are_valid_json	runtime-error
json_top_level_scalar_document_is_a_value	runtime-error
json_typed_capture_filters_a_wrong_typed_value	runtime-error
json_typed_capture_folds_into_a_keyed_int_total	runtime-error
json_untyped_capture_binds_without_a_type	runtime-error
keep_on_non_log_rel_rejected	unsupported
key_identical_write_is_silent	runtime-error
key_last_write_wins	runtime-error
key_range_reported_before_unknown_column_type	unsupported
key_same_tick_ordered_not_conflict	runtime-error
keyed_edge_head_still_replaces	runtime-error
keyed_level_head_is_refused	unsupported
keyed_log_rejected	unsupported
keyed_replace_departs_the_old_row	runtime-error
latest_in_level_rule_rejected	unsupported
level_view_reads_set_projection_not_occurrences	diff
list_bare_column_round_trips	runtime-error
list_bare_text_door	clean
list_column_fans_out_through_spread	clean
list_dense_sequence_text_door	clean
list_entity_dense_sequence_end_to_end	diff
list_entity_linked_sequence_end_to_end	runtime-error
list_interned_set_dictionary_content_deduplicates	unsupported
list_interned_set_end_to_end	unsupported
list_interned_set_relation_element_refused	unsupported
list_interned_set_text_door	clean
list_linked_sequence_text_door	clean
list_of_json_documents_round_trips	clean
list_of_relation_refs_still_refused	unsupported
live_nonzero_exit_keeps_rows	diff
log_deltas_follow_arrival_order	runtime-error
log_driver_fold_needs_no_id_column	runtime-error
log_on_level_headed_rel_rejected	unsupported
log_rel_identical_arrival_is_two_occurrences	runtime-error
log_retraction_rejected	compiled
log_stacks_within_tick_and_across_ticks	runtime-error
log_without_retention_rejected	unsupported
lww_fold_follows_arrival_order	runtime-error
marker_stops_backlog_replay	runtime-error
match_classify_response	runtime-error
match_classify_response_desugared	runtime-error
match_edge_arm_keeps_edge_semantics	runtime-error
match_enum_nonexhaustive_is_refused	unsupported
merge_batches_per_tick	runtime-error
merge_never_retracts	runtime-error
merge_policy	runtime-error
module_path_and_option_column_coexist	diff
module_path_in_body_reads_the_flat_rel	clean
module_path_in_head_resolves_and_contributes	clean
module_path_local_name_binds_before_the_dotted_one	clean
module_path_off_the_decl_tree_refuses	unsupported
module_path_three_segments_resolve_through_the_rooms	clean
mutual_recursion_matches_oracle	runtime-error
native_ts_query_term	clean
negated_identity_guard_flips_to_complement	clean
negated_ordered_guard_flips_to_complement	clean
nested_body_atom_reads_every_partition	runtime-error
nested_child_and_an_option_column_coexist	diff
nested_child_carries_the_parent_reference	clean
nested_head_without_a_parent_atom_refuses	unsupported
nested_list_of_text_round_trips	clean
nested_list_text_door	clean
nested_parent_with_no_rows_yields_an_empty_child	clean
nested_rel_element_list_round_trips	diff
nested_three_levels_chain_the_references	clean
nested_two_parent_rows_partition_the_child	runtime-error
nested_zero_column_child_is_one_row_per_parent	runtime-error
new_file_diag_at_hit_line_exact_rows	clean
new_file_no_exceeded_diag	clean
new_salt_refires_fresh_stream	runtime-error
next_edge_is_the_bare_atom_spelling	runtime-error
next_level_is_the_bare_atom_spelling	clean
non_array_value_at_list_column_is_refused	unsupported
now_reads_the_tick	runtime-error
numeric_equality_operator_filters	clean
numeric_inequality_operator_filters	clean
