epoch_seconds	engine	scale	available_percent
1788840872	native-postgres-pg_ivm	2x200	58
1788840872	native-postgres-pg_ivm	6x2000	58
1788840872	native-postgres-pg_ivm	8x20000	58
1788840872	swi-incr	2x200	58
1788840873	swi-incr	6x2000	58
1788840873	swi-incr	8x20000	58
1788840876	differential-dataflow	2x200	58
1788840876	differential-dataflow	6x2000	58
1788840876	differential-dataflow	8x20000	58
1788840877	sqlite-count	2x200	58
1788840877	sqlite-count	6x2000	58
1788840877	sqlite-count	8x20000	58
1788840878	sqlite-count-scc	2x200	60
1788840878	sqlite-count-scc	6x2000	60
1788840878	sqlite-count-scc	8x20000	60
1788840879	sqlite-dred-loop	2x200	59
1788840879	sqlite-dred-loop	6x2000	59
1788840879	sqlite-dred-loop	8x20000	58
1788840880	sqlite-dred-cte	2x200	58
1788840880	sqlite-dred-cte	6x2000	58
1788840880	sqlite-dred-cte	8x20000	58
1788840881	sqlite-signed-delta-v2	2x200	58
1788840881	sqlite-signed-delta-v2	6x2000	60
1788840881	sqlite-signed-delta-v2	8x20000	58
1788840882	tsv2-runtime	2x200	58
1788840882	tsv2-runtime	6x2000	58
1788840883	tsv2-runtime	8x20000	58
1788840891	sprefa-engine-rs	2x200	58
1788840891	sprefa-engine-rs	6x2000	58
1788840892	sprefa-engine-rs	8x20000	58
1788840895	pglite-query	2x200	58
1788840896	pglite-query	6x2000	58
1788840897	pglite-query	8x20000	59
1788840901	native-postgres-query	2x200	59
1788840901	native-postgres-query	6x2000	59
1788840901	native-postgres-query	8x20000	59
1788840903	pglite-pg_ivm	2x200	59
1788840903	pglite-pg_ivm	6x2000	59
1788840903	pglite-pg_ivm	8x20000	59
