engine,nodes,edges,killed,setup_ms,retract_ms,ops,rss_mb,host_peak_mb,sqlite_hw_mb,db_mb
sqlite-count-scc,402,696,180,2.362,0.894,21,6.2,0.11,0.29,0.07
sqlite-count-scc,12002,24096,1715,22.325,21.019,39,13.5,0.17,1.34,0.80
sqlite-count-scc,160002,326667,18096,312.682,305.918,51,129.4,1.24,14.72,10.39
sqlite-dred-loop,402,696,180,4.614,0.976,31,6.6,0.11,0.29,0.07
sqlite-dred-loop,12002,24096,1715,22.495,20.999,53,14.2,0.17,1.34,0.80
sqlite-dred-loop,160002,326667,18096,315.985,310.747,67,125.3,1.24,14.72,10.39
sqlite-dred-cte,402,696,180,4.902,0.825,6,6.6,0.11,0.29,0.07
sqlite-dred-cte,12002,24096,1715,22.863,31.126,6,14.5,0.17,1.56,0.80
sqlite-dred-cte,160002,326667,18096,310.081,426.872,6,119.7,1.24,18.37,10.39
sqlite-signed-delta-v2,402,696,180,4.384,0.403,3,6.5,0.11,0.29,0.07
sqlite-signed-delta-v2,12002,24096,1715,22.644,13.439,3,13.3,0.17,1.38,0.80
sqlite-signed-delta-v2,160002,326667,18096,316.263,185.400,3,125.8,1.24,15.32,10.39
tsv2-runtime,402,696,180,15.375,3.830,98,140.8,N/A,N/A,0
tsv2-runtime,12002,24096,1715,301.253,46.078,107,192.9,N/A,N/A,0
tsv2-runtime,160002,326667,18096,7438.247,747.709,113,731.9,N/A,N/A,0
sprefa-engine-rs,402,696,180,5.290,1.469,64,8.5,N/A,N/A,0
sprefa-engine-rs,12002,24096,1715,174.154,59.689,76,66.5,N/A,N/A,0
sprefa-engine-rs,160002,326667,18096,2230.118,1078.669,88,536.3,N/A,N/A,0
pglite-query,402,696,180,10.423,2.247,N/A,1069.9,N/A,N/A,38.125
pglite-query,12002,24096,1715,62.814,29.484,N/A,1048.9,N/A,N/A,39.328
pglite-query,160002,326667,18096,811.091,444.714,N/A,1381.3,N/A,N/A,87.024
native-postgres-query,402,696,180,6.820,2.852,N/A,160.7,N/A,N/A,7.420
native-postgres-query,12002,24096,1715,37.951,19.328,N/A,220.7,N/A,N/A,8.623
native-postgres-query,160002,326667,18096,525.276,247.458,N/A,480.4,N/A,N/A,24.318
swi-incr,402,696,180,1,1,0,12.89,N/A,N/A,N/A
swi-incr,12002,24096,1715,77,56,0,47.33,N/A,N/A,N/A
swi-incr,160002,326667,18096,1146,1153,0,572.09,N/A,N/A,N/A
differential-dataflow,402,696,180,4.360,0.319,180,4.2,N/A,N/A,N/A
differential-dataflow,12002,24096,1715,7.855,2.591,1715,8.7,N/A,N/A,N/A
differential-dataflow,160002,326667,18096,109.638,28.947,18096,73.7,N/A,N/A,N/A
