epoch_seconds	engine	scale	available_percent
1788841007	sqlite-count-scc	2x200	60
1788841007	sqlite-count-scc	6x2000	60
1788841007	sqlite-count-scc	8x20000	60
1788841008	sqlite-dred-loop	2x200	60
1788841008	sqlite-dred-loop	6x2000	60
1788841008	sqlite-dred-loop	8x20000	60
1788841009	sqlite-dred-cte	2x200	60
1788841009	sqlite-dred-cte	6x2000	60
1788841009	sqlite-dred-cte	8x20000	60
1788841010	sqlite-signed-delta-v2	2x200	60
1788841010	sqlite-signed-delta-v2	6x2000	60
1788841010	sqlite-signed-delta-v2	8x20000	61
1788841011	tsv2-runtime	2x200	60
1788841012	tsv2-runtime	6x2000	60
1788841012	tsv2-runtime	8x20000	60
1788841022	sprefa-engine-rs	2x200	60
1788841022	sprefa-engine-rs	6x2000	60
1788841022	sprefa-engine-rs	8x20000	59
1788841026	pglite-query	2x200	59
1788841027	pglite-query	6x2000	59
1788841028	pglite-query	8x20000	59
1788841032	native-postgres-query	2x200	60
1788841032	native-postgres-query	6x2000	60
1788841032	native-postgres-query	8x20000	61
1788841033	pglite-pg_ivm	2x200	60
1788841033	pglite-pg_ivm	6x2000	60
1788841034	pglite-pg_ivm	8x20000	60
1788841034	native-postgres-pg_ivm	2x200	60
1788841034	native-postgres-pg_ivm	6x2000	60
1788841034	native-postgres-pg_ivm	8x20000	60
1788841034	swi-incr	2x200	60
1788841034	swi-incr	6x2000	60
1788841034	swi-incr	8x20000	60
1788841038	differential-dataflow	2x200	60
1788841038	differential-dataflow	6x2000	60
1788841038	differential-dataflow	8x20000	60
1788841038	sqlite-count	2x200	60
1788841038	sqlite-count	6x2000	60
1788841038	sqlite-count	8x20000	60
