engine	scale	status	semantics_or_reason	memory_scope	memory_limit_scope
pglite-query	2x200	ok	ordinary recursive SQL full recomputation; exact before=ada7ea43e998e3ba1357b4270279f2976e2659c6e3dd768d0fbfc6a15cd11314 after=d290b0a93c2138767799bffe561de2bad1a45c0ffc8210a3be393f16eb7bc305; PostgreSQL 18.3	sampled RSS of the Node process containing PGlite WASM	DL_MEMCAP_MB=4096 limits Node old-space only; total process RSS is unenforced
native-postgres-query	2x200	ok	ordinary recursive SQL full recomputation; exact before=ada7ea43e998e3ba1357b4270279f2976e2659c6e3dd768d0fbfc6a15cd11314 after=d290b0a93c2138767799bffe561de2bad1a45c0ffc8210a3be393f16eb7bc305; PostgreSQL 18.6	sampled sum of Node client and disposable PostgreSQL process-tree RSS; shared mappings may be counted more than once	DL_MEMCAP_MB=4096 is unenforced for total PostgreSQL memory
pglite-pg_ivm	2x200	unsupported	pg_ivm rejects recursive WITH RECURSIVE view definitions	no process started	not applicable
native-postgres-pg_ivm	2x200	unsupported	pg_ivm rejects recursive WITH RECURSIVE view definitions	no process started	not applicable
